date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1964-05-07,"NAIMETTE-XHOVEMONT, LIEGE",ITALY A TOUR IN BELGIUM 1964,BEL,BELGIUM,,ITALY AITA A,FT,3,34
1964-04-11,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,IRE,IRELAND,FT,27,6
1964-03-29,"LOUIS-DARRAGON, VICHY",WEST GERMANY TOUR 1964,FRA,FRANCE,,WEST GERMANY,FT,34,3
1964-03-29,"STADIO COMUNALE ENNIO TARDINI, PARMA",FRANCE TOUR IN ITALY/ROMANIA/SOUTH AFRICA 1964,ITALY,ITALY,FRA,FRANCE,FT,3,12
1964-03-22,"CAMPO ARCOVEGGIO, BOLOGNA",WEST GERMANY TOUR 1964,ITALY,ITALY,,WEST GERMANY,FT,17,3
1964-03-21,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,ENG,ENGLAND,FT,15,6
1964-03-21,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,FRA,FRANCE,FT,11,11
1964-03-07,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,WALES,WALES,FT,6,15
1964-02-22,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,ENG,ENGLAND,FT,3,6
1964-02-22,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,SCOT,SCOTLAND,FT,3,6
1964-02-08,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,IRE,IRELAND,FT,5,18
1964-02-08,"STADE YVES-DU-MANOIR, PARIS",NEW ZEALAND TOUR IN ENGLAND/FRANCE/IRELAND/SCOTLAND/WALES 1963/64,FRA,FRANCE,NZL,NEW ZEALAND,FT,3,12
1964-02-01,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,SCOT,SCOTLAND,FT,11,3
1964-01-18,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,WALES,WALES,FT,6,6
1964-01-18,"BT MURRAYFIELD, EDINBURGH",NEW ZEALAND TOUR IN ENGLAND/FRANCE/IRELAND/SCOTLAND/WALES 1963/64,SCOT,SCOTLAND,NZL,NEW ZEALAND,FT,0,0
1964-01-04,"TWICKENHAM STADIUM, TWICKENHAM",NEW ZEALAND TOUR IN ENGLAND/FRANCE/IRELAND/SCOTLAND/WALES 1963/64,ENG,ENGLAND,NZL,NEW ZEALAND,FT,0,14
1964-01-04,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,FRA,FRANCE,FT,10,0
1963-12-21,"NATIONAL STADIUM, CARDIFF",NEW ZEALAND TOUR IN ENGLAND/FRANCE/IRELAND/SCOTLAND/WALES 1963/64,WALES,WALES,NZL,NEW ZEALAND,FT,0,6
1963-12-15,"STADE TOULOUSE, TOULOUSE",ROMANIA TOUR IN FRANCE 1963,FRA,FRANCE,ROM,ROMANIA,FT,6,6
1963-12-07,"AVIVA STADIUM, DUBLIN",NEW ZEALAND TOUR IN ENGLAND/FRANCE/IRELAND/SCOTLAND/WALES 1963/64,IRE,IRELAND,NZL,NEW ZEALAND,FT,5,6
1963-12-01,"STADIO TOMMASO FATTORI, L'AQUILA",POLAND TOUR IN ITALY 1963,,ITALY BITA B,POL,POLAND,FT,12,6
1963-10-13,"RK SPEED, COPENHAGEN",SWEDEN TOUR IN DENMARK 1963,DEN,DENMARK,SWED,SWEDEN,FT,6,0
1963-09-10,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",SOUTH PACIFIC GAMES,FIJI,FIJI,TONGA,TONGA,FT,25,9
1963-09-07,"BOET ERASMUS (EPRFU), PORT ELIZABETH",AUSTRALIA TOUR 1963,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,22,6
