date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
2008-04-26,"DINAMO ARENA, TBILISI",SIX NATIONS B,GEORG,GEORGIA,SPAIN,SPAIN,FT,22,20
2008-04-26,"KRISTINEBERGS IP, STOCKHOLM",FIRA CHAMPIONSHIP D3,SWED,SWEDEN,S&M,SERBIA AND MONTENEGRO,FT,22,3
2008-04-26,"AMBLERS RUGBY CLUB, AL AIN",ASIA RUGBY CHAMPIONSHIP - TOP 3,AGU,ARABIAN GULF,HK,HONG KONG,FT,12,20
2008-04-26,"MUNHAK SPORTS STADIUM, INCHEON",ASIA RUGBY CHAMPIONSHIP - TOP 3,KOREA,KOREA,JPN,JAPAN,FT,17,39
2008-04-19,"RUDOLF-KALWEIT-STADION, HANOVER",FIRA CHAMPIONSHIP D2,GERM,GERMANY,UKR,UKRAINE,FT,13,5
2008-04-19,"CENTRE SPORTIF DE COLOVRAY, NYON",FIRA CHAMPIONSHIP D3,SWED,SWEDEN,SWITZ,SWITZERLAND,FT,28,16
2008-04-12,"VAZGEN SARGSYAN REPUBLICAN STADIUM, EREVAN",FIRA CHAMPIONSHIP D3,DEN,DENMARK,ARM,ARMENIA,FT,13,24
2008-04-12,"STADIONUL DINAMO, CHISINAU",FIRA CHAMPIONSHIP D2,MOLD,MOLDOVA,BEL,BELGIUM,FT,19,22
2008-04-12,"EL MENZAH STADIUM, TUNIS",HONG KONG TOUR IN TUNISIA 2008,TUN,TUNISIA,HK,HONG KONG,FT,29,9
2008-04-05,"ATLETIKSTADION, ODENSE",FIRA CHAMPIONSHIP D3,DEN,DENMARK,SWITZ,SWITZERLAND,FT,13,28
2008-04-05,"FOOTBALL CLUB, HONG KONG",TUNISIA TOUR IN HONG KONG 2008,HK,HONG KONG,TUN,TUNISIA,FT,25,12
2008-03-22,"STADIONUL DINAMO, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,CZE,CZECH REPUBLIC,FT,76,7
2008-03-15,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,IRE,IRELAND,FT,33,10
2008-03-15,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,FRA,FRANCE,FT,29,12
2008-03-15,"YUNOST STADIUM, ARMAVIR,KRASNODAR",SIX NATIONS B,RUSS,RUSSIA,ROM,ROMANIA,FT,12,8
2008-03-15,"STADIO FLAMINIO, ROME",SIX NATIONS,ITALY,ITALY,SCOT,SCOTLAND,FT,23,20
2008-03-09,"STADE DE FRANCE, PARIS",SIX NATIONS,FRA,FRANCE,ITALY,ITALY,FT,25,13
2008-03-08,"CROKE PARK, DUBLIN",SIX NATIONS,IRE,IRELAND,WALES,WALES,FT,12,16
2008-03-08,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,PORT,PORTUGAL,FT,21,15
2008-03-08,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,ENG,ENGLAND,FT,15,9
2008-03-08,"YUNOST STADIUM, ARMAVIR,KRASNODAR",SIX NATIONS B,RUSS,RUSSIA,SPAIN,SPAIN,FT,42,16
2008-03-01,"YUNOST STADIUM, ARMAVIR,KRASNODAR",SIX NATIONS B,RUSS,RUSSIA,PORT,PORTUGAL,FT,41,26
2008-02-23,"STADE DE FRANCE, PARIS",SIX NATIONS,FRA,FRANCE,ENG,ENGLAND,FT,13,24
2008-02-23,"CROKE PARK, DUBLIN",SIX NATIONS,IRE,IRELAND,SCOT,SCOTLAND,FT,34,13
2008-02-23,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,ITALY,ITALY,FT,47,8
2008-02-23,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,ROM,ROMANIA,FT,11,17
2008-02-23,"UNIVERSITARIO LISBOA, LISBON",SIX NATIONS B,PORT,PORTUGAL,GEORG,GEORGIA,FT,6,11
2008-02-16,"UNIVERSITARIO LISBOA, LISBON",SIX NATIONS B,PORT,PORTUGAL,CZE,CZECH REPUBLIC,FT,42,6
2008-02-10,"STADIO FLAMINIO, ROME",SIX NATIONS,ITALY,ITALY,ENG,ENGLAND,FT,19,23
2008-02-09,"MESKHI (LOKOMOTIVI) STADIUM, TBILISI",SIX NATIONS B,GEORG,GEORGIA,ROM,ROMANIA,FT,22,7
2008-02-09,"STADE DE FRANCE, PARIS",SIX NATIONS,FRA,FRANCE,IRE,IRELAND,FT,26,21
2008-02-09,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,SCOT,SCOTLAND,FT,30,15
2008-02-03,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,FRA,FRANCE,FT,6,27
2008-02-02,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,WALES,WALES,FT,19,26
2008-02-02,"CROKE PARK, DUBLIN",SIX NATIONS,IRE,IRELAND,ITALY,ITALY,FT,16,11
2008-02-02,"MESKHI (LOKOMOTIVI) STADIUM, TBILISI",SIX NATIONS B,GEORG,GEORGIA,PORT,PORTUGAL,FT,31,3
2008-01-09,"KING'S PARK, HONG KONG",CHINESE TAIPEI TOUR IN HONG KONG 2008,HK,HONG KONG,TPE,CHINESE TAIPEI,FT,52,27
2008-01-06,"KING'S PARK, HONG KONG",CHINESE TAIPEI TOUR IN HONG KONG 2008,HK,HONG KONG,TPE,CHINESE TAIPEI,FT,64,17
2007-12-15,"ESTADIO DEL BICENTENARIO, SAN JUAN",SOUTH AMERICAN CHAMPIONSHIP,ARG,ARGENTINA,CHI,CHILE,FT,79,8
2007-12-01,"UNIVERSITARIO LISBOA, LISBON",SIX NATIONS B,PORT,PORTUGAL,ROM,ROMANIA,FT,8,23
2007-12-01,--,SOUTH AFRICA TOUR IN SCOTLAND/WALES 2007,BAR,BARBARIANS,SA,SOUTH AFRICA,FT,22,5
2007-11-24,"FRITZ GRUNEBAUM SPORTPARK, HEIDELBURG",FIRA CHAMPIONSHIP D2,GERM,GERMANY,MOLD,MOLDOVA,FT,34,5
2007-11-24,"PRINCIPALITY STADIUM, CARDIFF",SOUTH AFRICA TOUR IN SCOTLAND/WALES 2007,WALES,WALES,SA,SOUTH AFRICA,FT,12,34
2007-11-24,", FEODOSIA",FIRA CHAMPIONSHIP D2,UKR,UKRAINE,BEL,BELGIUM,FT,15,18
2007-11-17,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",FIRA CHAMPIONSHIP D2,NETH,NETHERLANDS,MOLD,MOLDOVA,FT,13,15
2007-11-10,"ROI BAUDOUIN, BRUSSELS",FIRA CHAMPIONSHIP D2,BEL,BELGIUM,GERM,GERMANY,FT,32,18
2007-11-10,"LONGDEN PLACE, COLOMBO",ASIAN RUGBY CHAMPIONSHIP,SL,SRI LANKA,KAZAK,KAZAKHSTAN,FT,17,24
2007-11-10,"SPARTAK STADIUM, KIEV",FIRA CHAMPIONSHIP D2,UKR,UKRAINE,NETH,NETHERLANDS,FT,13,7
2007-11-07,"LONGDEN PLACE, COLOMBO",ASIAN RUGBY CHAMPIONSHIP,SL,SRI LANKA,MALAY,MALAYSIA,FT,77,3
2007-11-04,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,RUSS,RUSSIA,FT,12,22
2007-11-03,"LONGDEN PLACE, COLOMBO",ASIAN RUGBY CHAMPIONSHIP,SL,SRI LANKA,CHN,CHINA,FT,26,10
2007-11-03,", HELSINGBORG",FIRA CHAMPIONSHIP D3,DEN,DENMARK,SWED,SWEDEN,FT,6,8
2007-11-03,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,CZE,CZECH REPUBLIC,FT,46,0
2007-11-03,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",SWITZERLAND TOUR 2007,NETH,NETHERLANDS,SWITZ,SWITZERLAND,FT,40,12
2007-10-27,", GDYNIA",FIRA CHAMPIONSHIP D2,POL,POLAND,CRO,CROATIA,FT,14,15
2007-10-27,"ATLETIKSTADION, ODENSE",FIRA CHAMPIONSHIP D3,DEN,DENMARK,S&M,SERBIA AND MONTENEGRO,FT,17,17
2007-10-20,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,ENG,ENGLAND,SA,SOUTH AFRICA,FT,6,15
2007-10-19,"PARC DES PRINCES, PARC DES PRINCES",RUGBY WORLD CUP,FRA,FRANCE,ARG,ARGENTINA,FT,10,34
2007-10-14,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,SA,SOUTH AFRICA,ARG,ARGENTINA,FT,37,13
2007-10-13,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,FRA,FRANCE,ENG,ENGLAND,FT,9,14
2007-10-07,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,SA,SOUTH AFRICA,FIJI,FIJI,FT,37,20
2007-10-07,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,SCOT,SCOTLAND,ARG,ARGENTINA,FT,13,19
2007-10-06,"PRINCIPALITY STADIUM, CARDIFF",RUGBY WORLD CUP,NZL,NEW ZEALAND,FRA,FRANCE,FT,18,20
2007-10-06,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,ENG,ENGLAND,AUS,AUSTRALIA,FT,12,10
2007-09-30,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,FRA,FRANCE,GEORG,GEORGIA,FT,64,7
2007-09-30,"PARC DES PRINCES, PARC DES PRINCES",RUGBY WORLD CUP,IRE,IRELAND,ARG,ARGENTINA,FT,15,30
2007-09-30,"STADE DE LA MOSSON, MONTPELLIER, MONTPELLIER",RUGBY WORLD CUP,SA,SOUTH AFRICA,USA,UNITED STATES OF AMERICA,FT,64,15
2007-09-29,"STADE GEOFFROY-GUICHARD, SAINT-ETIENNE",RUGBY WORLD CUP,SCOT,SCOTLAND,ITALY,ITALY,FT,18,16
2007-09-29,"STADE TOULOUSE, TOULOUSE",RUGBY WORLD CUP,NZL,NEW ZEALAND,ROM,ROMANIA,FT,85,8
2007-09-29,"STADE CHABAN-DELMAS, BORDEAUX",RUGBY WORLD CUP,AUS,AUSTRALIA,CAN,CANADA,FT,37,6
2007-09-29,"CAMP DEL CONSELL GENERAL, ANDORRA LA VELLA",FIRA CHAMPIONSHIP D2,AND,ANDORRA,POL,POLAND,FT,5,33
2007-09-29,"STADE DE LA BEAUJOIRE, NANTES",RUGBY WORLD CUP,WALES,WALES,FIJI,FIJI,FT,34,38
2007-09-28,"PARC DES PRINCES, PARC DES PRINCES",RUGBY WORLD CUP,ENG,ENGLAND,TONGA,TONGA,FT,36,20
2007-09-26,"STADE GEOFFROY-GUICHARD, SAINT-ETIENNE",RUGBY WORLD CUP,USA,UNITED STATES OF AMERICA,SAMOA,SAMOA,FT,21,25
2007-09-25,"STADE CHABAN-DELMAS, BORDEAUX",RUGBY WORLD CUP,JPN,JAPAN,CAN,CANADA,FT,12,12
2007-09-25,"STADE TOULOUSE, TOULOUSE",RUGBY WORLD CUP,ROM,ROMANIA,PORT,PORTUGAL,FT,14,10
2007-09-23,"STADE DE LA MOSSON, MONTPELLIER, MONTPELLIER",RUGBY WORLD CUP,AUS,AUSTRALIA,FIJI,FIJI,FT,55,12
2007-09-23,"BT MURRAYFIELD, EDINBURGH",RUGBY WORLD CUP,SCOT,SCOTLAND,NZL,NEW ZEALAND,FT,0,40
2007-09-22,"STADE FELIX BOLLAERT, LENS, LENS",RUGBY WORLD CUP,SA,SOUTH AFRICA,TONGA,TONGA,FT,30,25
2007-09-22,"STADE DE LA BEAUJOIRE, NANTES",RUGBY WORLD CUP,ENG,ENGLAND,SAMOA,SAMOA,FT,44,22
2007-09-22,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,ARG,ARGENTINA,NAMIB,NAMIBIA,FT,63,3
2007-09-21,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,FRA,FRANCE,IRE,IRELAND,FT,25,3
2007-09-20,"PRINCIPALITY STADIUM, CARDIFF",RUGBY WORLD CUP,WALES,WALES,JPN,JAPAN,FT,72,18
2007-09-19,"PARC DES PRINCES, PARC DES PRINCES",RUGBY WORLD CUP,ITALY,ITALY,PORT,PORTUGAL,FT,31,5
2007-09-18,"BT MURRAYFIELD, EDINBURGH",RUGBY WORLD CUP,SCOT,SCOTLAND,ROM,ROMANIA,FT,42,0
2007-09-16,"STADE DE LA MOSSON, MONTPELLIER, MONTPELLIER",RUGBY WORLD CUP,SAMOA,SAMOA,TONGA,TONGA,FT,15,19
2007-09-16,"PRINCIPALITY STADIUM, CARDIFF",RUGBY WORLD CUP,FIJI,FIJI,CAN,CANADA,FT,29,16
2007-09-16,"STADE TOULOUSE, TOULOUSE",RUGBY WORLD CUP,FRA,FRANCE,NAMIB,NAMIBIA,FT,87,10
2007-09-15,"PRINCIPALITY STADIUM, CARDIFF",RUGBY WORLD CUP,WALES,WALES,AUS,AUSTRALIA,FT,20,32
2007-09-15,"STADE CHABAN-DELMAS, BORDEAUX",RUGBY WORLD CUP,IRE,IRELAND,GEORG,GEORGIA,FT,14,10
2007-09-15,"MATMUT STADIUM GERLAND, LYON",RUGBY WORLD CUP,NZL,NEW ZEALAND,PORT,PORTUGAL,FT,108,13
2007-09-14,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,ENG,ENGLAND,SA,SOUTH AFRICA,FT,0,36
2007-09-12,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,ROM,ROMANIA,ITALY,ITALY,FT,18,24
2007-09-12,"STADE TOULOUSE, TOULOUSE",RUGBY WORLD CUP,FIJI,FIJI,JPN,JAPAN,FT,35,31
2007-09-12,"STADE DE LA MOSSON, MONTPELLIER, MONTPELLIER",RUGBY WORLD CUP,USA,UNITED STATES OF AMERICA,TONGA,TONGA,FT,15,25
2007-09-11,"MATMUT STADIUM GERLAND, LYON",RUGBY WORLD CUP,ARG,ARGENTINA,GEORG,GEORGIA,FT,33,3
2007-09-09,"STADE DE LA BEAUJOIRE, NANTES",RUGBY WORLD CUP,WALES,WALES,CAN,CANADA,FT,42,17
2007-09-09,"STADE GEOFFROY-GUICHARD, SAINT-ETIENNE",RUGBY WORLD CUP,SCOT,SCOTLAND,PORT,PORTUGAL,FT,56,10
2007-09-09,"PARC DES PRINCES, PARC DES PRINCES",RUGBY WORLD CUP,SA,SOUTH AFRICA,SAMOA,SAMOA,FT,59,7
2007-09-09,"STADE CHABAN-DELMAS, BORDEAUX",RUGBY WORLD CUP,IRE,IRELAND,NAMIB,NAMIBIA,FT,32,17
2007-09-08,"STADE FELIX BOLLAERT, LENS, LENS",RUGBY WORLD CUP,ENG,ENGLAND,USA,UNITED STATES OF AMERICA,FT,28,10
2007-09-08,"ORANGE VELODROME, MARSEILLE",RUGBY WORLD CUP,NZL,NEW ZEALAND,ITALY,ITALY,FT,76,14
2007-09-08,"MATMUT STADIUM GERLAND, LYON",RUGBY WORLD CUP,AUS,AUSTRALIA,JPN,JAPAN,FT,91,3
2007-09-07,"STADE DE FRANCE, PARIS",RUGBY WORLD CUP,FRA,FRANCE,ARG,ARGENTINA,FT,12,17
2007-09-01,"STADE PIERRE RAJON, BOURGOIN-JALLIEU",FIRA CHAMPIONSHIP D3,SWED,SWEDEN,ARM,ARMENIA,FT,12,16
2007-08-26,"PRINCIPALITY STADIUM, CARDIFF",FRANCE TOUR IN ENGLAND/NEW ZEALAND/WALES 2007,WALES,WALES,FRA,FRANCE,FT,7,34
2007-08-25,"BT MURRAYFIELD, EDINBURGH",SOUTH AFRICA TOUR IN SCOTLAND/WALES 2007,SCOT,SCOTLAND,SA,SOUTH AFRICA,FT,3,27
2007-08-25,"PRINCE OF WALES CC, SANTIAGO",SOUTH AMERICAN CHAMPIONSHIP,CHI,CHILE,URUG,URUGUAY,FT,34,35
2007-08-25,"STADIO MAURIZIO QUAGGIA, MOGLIANO",PORTUGAL TOUR IN CANADA 2007,JPN,JAPAN,PORT,PORTUGAL,FT,15,13
2007-08-24,"KINGSPAN STADIUM, BELFAST",ITALY TOUR IN ARGENTINA/IRELAND/URUGUAY 2007,IRE,IRELAND,ITALY,ITALY,FT,23,20
2007-08-19,"ORANGE VELODROME, MARSEILLE",ENGLAND TOUR IN FRANCE/SOUTH AFRICA 2007,FRA,FRANCE,ENG,ENGLAND,FT,22,9
2007-08-18,"STADIO PIERGIORGIO PERUCCA, SAINT VINCENT AOSTA",JAPAN TOUR IN ITALY 2007,ITALY,ITALY,JPN,JAPAN,FT,36,12
2007-08-18,"MAPLE GROVE RUGBY PARK, NEPEAN",PORTUGAL TOUR IN CANADA 2007,CAN,CANADA,PORT,PORTUGAL,FT,42,12
2007-08-18,"CARRASCO POLO CLUB, MONTEVIDEO",SPAIN TOUR IN CHILE/URUGUAY 2007,URUG,URUGUAY,SPAIN,SPAIN,FT,10,18
2007-08-18,"PRINCIPALITY STADIUM, CARDIFF",ARGENTINA TOUR IN WALES 2007,WALES,WALES,ARG,ARGENTINA,FT,27,20
2007-08-15,"PRINCE OF WALES CC, SANTIAGO",SPAIN TOUR IN CHILE/URUGUAY 2007,CHI,CHILE,SPAIN,SPAIN,FT,25,30
2007-08-15,"DHL NEWLANDS STADIUM, CAPE TOWN",NAMIBIA TOUR IN SOUTH AFRICA 2007,SA,SOUTH AFRICA,NAMIB,NAMIBIA,FT,105,13
2007-08-11,"TWICKENHAM STADIUM, TWICKENHAM",FRANCE TOUR IN ENGLAND/NEW ZEALAND/WALES 2007,ENG,ENGLAND,FRA,FRANCE,FT,15,21
2007-08-11,"BT MURRAYFIELD, EDINBURGH",IRELAND TOUR IN ARGENTINA/SCOTLAND 2007,SCOT,SCOTLAND,IRE,IRELAND,FT,31,21
2007-08-04,"TWICKENHAM STADIUM, TWICKENHAM",WALES TOUR IN AUSTRALIA/ENGLAND 2007,ENG,ENGLAND,WALES,WALES,FT,62,5
2007-07-21,"EDEN PARK, AUCKLAND",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,26,12
2007-07-14,"JADE STADIUM (LANCASTER PARK), CHRISTCHURCH",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,SA,SOUTH AFRICA,FT,33,6
2007-07-07,"STADIUM AUSTRALIA, SYDNEY",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,SA,SOUTH AFRICA,FT,25,17
2007-06-30,"MELBOURNE CRICKET GROUND (MCG), MELBOURNE",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,20,15
2007-06-24,"CHICHIBUNOMIYA, TOKYO",IRB PACIFIC NATIONS CUP,JPN,JAPAN,JUNNZ,JUNIOR ALL BLACKS,FT,3,51
2007-06-23,"RFUEA GROUND, NAIROBI",AFRICAN CAR CHAMPIONSHIP,KENYA,KENYA,MOROC,MOROCCO,FT,23,19
2007-06-23,"JONSSON KINGS PARK, DURBAN",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,21,26
2007-06-23,"APIA PARK, APIA",IRB PACIFIC NATIONS CUP,SAMOA,SAMOA,TONGA,TONGA,FT,50,3
2007-06-16,"CHURCHILL PARK, LAUTOKA",IRB PACIFIC NATIONS CUP,FIJI,FIJI,TONGA,TONGA,FT,15,21
2007-06-16,"YURTEC STADIUM, MIYAGI",IRB PACIFIC NATIONS CUP,JPN,JAPAN,SAMOA,SAMOA,FT,3,13
2007-06-16,"FMG (WAIKATO) STADIUM, HAMILTON(NZ)",CANADA TOUR IN NEW ZEALAND 2007,NZL,NEW ZEALAND,CAN,CANADA,FT,64,13
2007-06-16,"ARCUL DE TRIUMF, BUCHAREST",NATIONS CUP,ROM,ROMANIA,NAMIB,NAMIBIA,FT,28,16
2007-06-16,"DHL NEWLANDS, CAPE TOWN",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,22,19
2007-06-10,"ARCUL DE TRIUMF, BUCHAREST",NATIONS CUP,ROM,ROMANIA,,ITALY AITA A,FT,19,8
2007-06-09,"JUAN BAUTISTA GARGANTINI (IND. RIVADAVIA, MENDOZA",ITALY TOUR IN ARGENTINA/IRELAND/URUGUAY 2007,ARG,ARGENTINA,ITALY,ITALY,FT,24,6
2007-06-09,SKY STADIUM,FRANCE TOUR IN ENGLAND/NEW ZEALAND/WALES 2007,NZL,NEW ZEALAND,FRA,FRANCE,FT,61,10
2007-06-09,"PATERSONS STADIUM, PERTH",FIJI TOUR IN AUSTRALIA 2007,AUS,AUSTRALIA,FIJI,FIJI,FT,49,0
2007-06-09,"1300 SMILES STADIUM, TOWNSVILLE",IRB PACIFIC NATIONS CUP,,AUSTRALIA AAUS A,JPN,JAPAN,FT,71,10
2007-06-09,"EMIRATES AIRLINES PARK, JOHANNESBURG",SAMOA TOUR IN SOUTH AFRICA 2007,SA,SOUTH AFRICA,SAMOA,SAMOA,FT,35,8
2007-06-09,"TEUFAIVA STADIUM, NUKU A'LOFA",IRB PACIFIC NATIONS CUP,TONGA,TONGA,JUNNZ,JUNIOR ALL BLACKS,FT,13,39
2007-06-05,"ARCUL DE TRIUMF, BUCHAREST",NATIONS CUP,ROM,ROMANIA,E SA,EMERGING SPRINGBOKS,FT,7,61
2007-06-03,"SUNCORP STADIUM, BRISBANE",JAMES BEVAN TROPHY,AUS,AUSTRALIA,WALES,WALES,FT,31,0
2007-06-02,"EDEN PARK, AUCKLAND",FRANCE TOUR IN ENGLAND/NEW ZEALAND/WALES 2007,NZL,NEW ZEALAND,FRA,FRANCE,FT,42,11
2007-06-02,"LOFTUS VERSFELD, PRETORIA",ENGLAND TOUR IN FRANCE/SOUTH AFRICA 2007,SA,SOUTH AFRICA,ENG,ENGLAND,FT,55,22
2007-06-02,"JOSE AMALFITANI (VELEZ SARSFIELD), BUENOS AIRES",IRELAND TOUR IN ARGENTINA/SCOTLAND 2007,ARG,ARGENTINA,IRE,IRELAND,FT,16,0
2007-06-02,"INTERNATIONAL STADIUM, COFFS HARBOUR",IRB PACIFIC NATIONS CUP,TONGA,TONGA,JPN,JAPAN,FT,17,20
2007-06-02,"TWICKENHAM STADIUM, TWICKENHAM",CHURCHILL CUP,USA,UNITED STATES OF AMERICA,CAN,CANADA,FT,10,52
2007-06-02,"INTERNATIONAL STADIUM, COFFS HARBOUR, COFFS HARBOUR",IRB PACIFIC NATIONS CUP,,AUSTRALIA AAUS A,SAMOA,SAMOA,FT,27,15
2007-06-02,"PARQUE CENTRAL, MONTEVIDEO",ITALY TOUR IN ARGENTINA/IRELAND/URUGUAY 2007,URUG,URUGUAY,ITALY,ITALY,FT,5,29
2007-05-28,"KING'S PARK, HONG KONG",ASIAN RUGBY CHAMPIONSHIP,HK,HONG KONG,KOREA,KOREA,FT,27,20
2007-05-27,"STADIUM AUSTRALIA, SYDNEY",JAMES BEVAN TROPHY,AUS,AUSTRALIA,WALES,WALES,FT,29,23
2007-05-27,"APIA PARK, APIA",IRB PACIFIC NATIONS CUP,SAMOA,SAMOA,JUNNZ,JUNIOR ALL BLACKS,FT,10,31
2007-05-26,"CHURCHILL PARK, LAUTOKA",IRB PACIFIC NATIONS CUP,FIJI,FIJI,JPN,JAPAN,FT,30,15
2007-05-26,"ESTADIO BRIGADIER LOPEZ (CLUB COLON), SANTA FE",IRELAND TOUR IN ARGENTINA/SCOTLAND 2007,ARG,ARGENTINA,IRE,IRELAND,FT,22,20
2007-05-26,"TOYOTA STADIUM, BLOEMFONTEIN",ENGLAND TOUR IN FRANCE/SOUTH AFRICA 2007,SA,SOUTH AFRICA,ENG,ENGLAND,FT,58,10
2007-05-26,"STADE DE COC, CASABLANCA",AFRICAN CAR CHAMPIONSHIP,MOROC,MOROCCO,CMR,CAMEROON,FT,20,6
2007-05-25,"ALLIANZ STADIUM, SYDNEY",IRB PACIFIC NATIONS CUP,,AUSTRALIA AAUS A,TONGA,TONGA,FT,60,15
2007-05-23,"MANUEL MARTINEZ VALERO, ELCHE",BARBARIANS TOUR IN SPAIN/TUNISIA 2007,SPAIN,SPAIN,BAR,BARBARIANS,FT,26,52
2007-05-23,"DRY LEAS, HENLEY",CHURCHILL CUP,USA,UNITED STATES OF AMERICA,,SCOTLAND ASCO A,FT,9,13
2007-05-19,"APIA PARK, APIA",IRB PACIFIC NATIONS CUP,SAMOA,SAMOA,FIJI,FIJI,FT,8,3
2007-05-19,"STADION POGONI, SIEDLCE",FIRA CHAMPIONSHIP D2,POL,POLAND,MALTA,MALTA,FT,36,3
2007-05-19,"JOSEFA KAHOUTA,RICANY, PRAGUE",SIX NATIONS B,CZE,CZECH REPUBLIC,PORT,PORTUGAL,FT,3,23
2007-05-18,"EDGELEY PARK, STOCKPORT",CHURCHILL CUP,,ENGLAND AENG A,USA,UNITED STATES OF AMERICA,FT,51,3
2007-05-12,"UNIVERSITARIO LISBOA, LISBON",SIX NATIONS B,PORT,PORTUGAL,RUSS,RUSSIA,FT,13,21
2007-05-08,"NATIONAL UNIVERSITY, ALMATY",ASIAN RUGBY CHAMPIONSHIP,KAZAK,KAZAKHSTAN,SL,SRI LANKA,FT,71,6
2007-05-05,", ESKILISTUNA",FIRA CHAMPIONSHIP D3,SWED,SWEDEN,SWITZ,SWITZERLAND,FT,6,0
2007-05-05,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",FIRA CHAMPIONSHIP D2,NETH,NETHERLANDS,BEL,BELGIUM,FT,20,27
2007-05-05,"DAUGAVAS STADIONA, RIGA",FIRA CHAMPIONSHIP D2,LAT,LATVIA,POL,POLAND,FT,9,33
2007-05-05,"FFC ARENA, TATRA SMICHOV, PRAGUE",SIX NATIONS B,CZE,CZECH REPUBLIC,SPAIN,SPAIN,FT,15,42
2007-04-29,"CHICHIBUNOMIYA, TOKYO",ASIAN RUGBY CHAMPIONSHIP,JPN,JAPAN,HK,HONG KONG,FT,73,3
2007-04-28,"RUDOLF-KALWEIT-STADION, HANOVER",FIRA CHAMPIONSHIP D2,GERM,GERMANY,NETH,NETHERLANDS,FT,21,12
2007-04-27,"SHARJAH, SHARJAH",ASIAN RUGBY CHAMPIONSHIP,AGU,ARABIAN GULF,SL,SRI LANKA,FT,52,11
2007-04-22,"CHICHIBUNOMIYA, TOKYO",ASIAN RUGBY CHAMPIONSHIP,JPN,JAPAN,KOREA,KOREA,FT,82,0
2007-04-21,"SPARTAK STADIUM, KIEV",FIRA CHAMPIONSHIP D2,UKR,UKRAINE,GERM,GERMANY,FT,14,22
2007-04-21,"LE STADE DU PETIT HEYSEL, BRUSSELS",FIRA CHAMPIONSHIP D2,BEL,BELGIUM,MOLD,MOLDOVA,FT,27,29
2007-04-14,"STADION MAKIS (FK MILICIONAR), BELGRADE",FIRA CHAMPIONSHIP D3,SWED,SWEDEN,S&M,SERBIA AND MONTENEGRO,FT,30,15
2007-04-07,"ATLETIKSTADION, ODENSE",FIRA CHAMPIONSHIP D3,DEN,DENMARK,ARM,ARMENIA,FT,3,11
2007-03-31,"ST JAKOB ATHLETICS, BASEL",FIRA CHAMPIONSHIP D3,DEN,DENMARK,SWITZ,SWITZERLAND,FT,24,22
2007-03-24,"STADE MUNICIPAL JEAN VAREILLE, CARMAUX",POLAND TOUR IN FRANCE 2007,F UNI,FRENCH UNIVERSITIES,POL,POLAND,FT,88,0
2007-03-24,"PARQUE CENTRAL, MONTEVIDEO",RUGBY WORLD CUP QUALIFIER,URUG,URUGUAY,PORT,PORTUGAL,FT,18,12
2007-03-17,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,ENG,ENGLAND,FT,27,18
